ID,Label,Type
"de Backer","de Backer",Druckende_Verlegende
Brusselles,Brusselles,Ort
VD18_14631520-004,"Sendschreiben an Mylord [et]c. [et]c.Betreffende die Nothwendigkeit Gerechtsame/ der völligen Restitution der Spanischen Monarchie. Aus dem (1710)",Buch
Lorber,Lorber,Druckende_Verlegende
Erlangen,Erlangen,Ort
K10plus_134055551,"Oeuvres Diverses De Monsieur Jean Locke. (1710)",Buch
gnd_118573748,"Locke, John",Person
"Fritsch & Böhm","Fritsch & Böhm",Druckende_Verlegende
Rotterdam,Rotterdam,Ort
VD18_11261765-001,"Petrone Latin Et François. Traduction Entiere, Suivant Le Manuscrit Trouvé A Belgrade en 1688. ; Avec plusieurs Remarques & Additions, qui (1709)",Buch
gnd_118593293,"Petronius Arbiter",Person
gnd_118831917,"Nodot, François",Person
[S.l.],[S.l.],Ort
K10plus_151090645,"Sonnets chrétiens sur divers sujets (1709)",Buch
gnd_130060836,"Drelincourt, Laurent",Person
Desbordes,Desbordes,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
VD18_13349112,"Rechte Anwendung der jetzigen kurtzen Lebens-Zeit/ und Christliche Vorbereitung zu der künfftigen Seeligen Ewigkeit. Nach Anleitung derer a (1708)",Buch
gnd_133492966,"Toppe, Philipp Julius",Person
gnd_116996501,"Liebernickel, Gottfried",Person
gnd_1037506340,"Liebernickel, Gottfried",Person
"bey Gottfried Liebernickel","bey Gottfried Liebernickel",Druckende_Verlegende
Hamburg,Hamburg,Ort
"Ars moriendi","Ars moriendi",Inhalt_Gattung
K10plus_330455036,"L'Homme De Trompé Ou Le Criticon T. 3 (1708)",Buch
gnd_118696874,"Gracián y Morales, Baltasar",Person
Ellinckhuysen,Ellinckhuysen,Druckende_Verlegende
"La Haye","La Haye",Ort
K10plus_33045501X,"L'Homme De Trompé Ou Le Criticon T. 2 (1708)",Buch
gnd_118696874,"Gracián y Morales, Baltasar",Person
Ellinckhuysen,Ellinckhuysen,Druckende_Verlegende
"La Haye","La Haye",Ort
K10plus_237690055,"Histoire D'Hypolite, Comte de Duglas (1708)",Buch
gnd_118808788,"Aulnoy, Marie Catherine Le Jumel de Barneville",Person
"De Backer","De Backer",Druckende_Verlegende
Brusselle,Brusselle,Ort
K10plus_235847062,"L'Homme De Trompé Ou Le Criticon T. 1 (1708)",Buch
gnd_118696874,"Gracián y Morales, Baltasar",Person
Ellinckhuysen,Ellinckhuysen,Druckende_Verlegende
"La Haye","La Haye",Ort
K10plus_150292511,"Nouveau Traité De La Civilité Qui Se Pratique En France Parmi Les Honnestes Gens (1708)",Buch
gnd_120374307,"Courtin, Antoine",Person
"Chevreuse, ...","Chevreuse, ...",Person
Schelte,Schelte,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
Handbuch,Handbuch,Inhalt_Gattung
K10plus_25375111X,"Qui comprend depuis Auguste jusqu'à Galba. Histoire des empereurs et des autres princes, qui ont régné durant les six premiers siècles d (1707)",Buch
gnd_128681667,"Le Nain de Tillemont, Sébastien",Person
Fricx,Fricx,Druckende_Verlegende
Bruxelles,Bruxelles,Ort
