Name,Latitude,Longitude
Bobbau,51.683333,12.266667
Bobenheim-Roxheim,49.5875,8.357778
Bodenteich,52.833333,10.683333
Bodenwerder,51.966667,9.516667
Boehmisch_Brod_Cesky_Brod,50.0833,14.8667
Boizenburg,53.383333,10.716667
Bologna,44.507,11.351
Bolsena,42.65,11.983333
Bolzano_Bozen,45.971389,13.390833
Borchen,51.65,8.7333
Borghetto,45.6833,10.9333
Borgholz,51.616667,9.266667
Bothmer,52.7,9.6
Botnang,48.783333,9.133333
Boulogne_sur_Mer,50.720702,1.604562
Bozen,46.516667,11.366667
Bozzolo,45.1,10.483333
Bracciano,42.1,12.166667
Brakel,51.716667,9.183333
Braunschweig,52.266667,10.533333
Bremen,48.033333,9.366667
Brenner,47,11.5
Brentford,51.4833,-.3167
Breslau,51.1,17
Bressanone_Brixen,46.716667,11.65
Bretten,49.039167,8.702778
Briatico,38.716667,16.033333
Brixen,46.716667,11.65
Brome,52.6,10.95
Bronzolo,46.4,11.316667
Brosan,50.45374,14.145494
Bruchhausen-Vilsen,52.833333,9
Bruchsal,49.128056,8.583611
Bruck,48.166667,12.75
Brucoli,37.283333,15.183333
Bruex,50.5167,13.65
Buchdorf,48.783333,10.833333
Budin_Budyne_nad_Ohri,50.403889,14.126944
Bueckeburg,52.266667,9.05
Buetow,54.1667,17.4833
Buetzow,,
Bugewitz,53.8,13.833333
Buggiano,42.85,12.9
Bullendorf,53.35,10.566667
Buonconvento,43.133333,11.483333
Burg_Frankenstein,49.8,8.666667
Burg_Stargard,53.5,13.316667
Burg_bei_Magdeburg,52.266667,11.85
Burgau,48.433333,10.4
Burglengenfeld,49.205556,12.041389
Butzbach,50.433333,8.683333
Buxtehude,53.45,9.7
Cagnola,45.283333,11.866667
Calais,50.951241,1.85899
Calbe_Saale,51.9,11.766667
Calliano,45.933333,11.083333
Cambridge,52.2,.116667
Camerota,40.033333,15.366667
Cammin,53.983333,12.35
Canterbury,51.266667,1.083333
Capo_Mulini,37.5667,15.1667
Capo_Passeto,37.716667,15.183333
Capranica,42.25,12.183333
Caprarola,42.3167,12.2333
Capua,41.1,14.2
Carpenedo,45.512778,12.263333
Casalecchio_di_Reno,44.466667,11.266667
Casalnuovo_di_Napoli,40.916667,14.333333
Cascano,41.233333,13.966667
Castel_Gandolfo,41.75,12.65
Castel_Sant_Elmo,40.833333,14.233333
Castelfranco_Emilia,44.616667,11.05
Castellucchio,45.15,10.65
Castiglione,38.983333,16.166667
Castiglione_d_Adda,45.216667,9.683333
Castrocucco,39.916667,15.75
Catania,37.5,15.1
Cava_de_Tirreni,40.7,14.7
Cavacurta,45.183333,9.733333
Celle,52.616667,10.083333
Centeno,42.8,11.816667
Chalons_en_Champagne,48.953926,4.367238
Charlbury,51.866667,-1.466667
Charly_sur_Marne,48.977494,3.284642
Chateau_Thierry,49.05,3.4
Chemnitz,50.833333,12.916667
Chiaia,40.833333,14.25
Chlumtschan,50.334444,13.844167
Chorin,52.916667,13.866667
Chuettlitz,52.866667,11.116667
Cirella,39.716667,15.816667
Cismon_del_Grappa,45.916667,11.733333
Cittadella,45.65,11.783333
Clenze,52.933333,10.95
Clingen,51.216667,10.933333
Cloppenburg,52.85,8.033333
Coburg,50.25,10.966667
Colbatz_Kolbacz,53.301389,14.813611
Colbitz,52.316667,11.616667
Colle_Isarco_Gossensass,46.933333,11.433333
Comino,36,14.3333
Concordia_Sulla_Secchia,44.916667,10.983333
Conselve,45.233333,11.866667
Cori,41.65,12.916667
Cornedo,45.616667,11.333333
Corticella,44.55,11.366667
Corvey_Kloster,51.7667,9.4167
Coswig_Anhalt,51.883333,12.45
Covelo,46.1,11.016667
Creil,49.256722,2.484771
Cremona,45.116667,10.033333
Crivitz,53.583333,11.65
Crock,50.45,10.883333
Cuna,,
Curau,53.95,10.633333
Cyprus,35,33
Dabie_Altdamm,53.395,14.665
Dachstein,48.561559,7.532846
Dalldorf,52.95,10.833333
Damitz_Debica,53.970278,15.592222
Damgarten,54.25,12.466667
Damme,52.516667,8.2
Dannenberg,53.1,11.1
Danzig,54.3667,18.6833
Darmstadt,49.870556,8.649444
Deersheim,51.983333,10.783333
Delft,52,4.366667
Delitzsch,51.533333,12.35
Delmenhorst,53.05,8.616667
Demmin,53.9,13.033333
Den_Haag,52.083333,4.3
Denklingen,47.916667,10.85
Deptford,51.15,-1.983333
Desenzano_del_Grada,45.466667,10.533333
Dessau,51.833333,12.25
Detmold,51.933333,8.883333
Deutschbrod_Havlickuv_Brod,49.6333,15.5667
Deutschhorst,52.816667,10.933333
Diamante,39.683333,15.816667
Diesdorf,51.75,12.15
Dietfurt,48.95,10.933333
Dobbertin,53.633333,12.066667
Dodendorf,52.033333,11.616667
Doemitz,53.133333,11.25
Dolce,45.6,10.85
Dommitzsch,51.65,12.883333
Donauwoerth,48.7,10.8
Dordrecht,51.8,4.666667
Dorfmark,52.916667,9.766667
Dormans,49.076661,3.642256
Dornbach,48.2333,16.3
Dornstadt,48.466667,9.95
Dornstetten,48.45,8.5
Dover,51.133333,1.3
Doxan,50.459444,14.167778
Dragun,53.7,11.216667
Dreilingen,52.916667,10.35
Dreizehnhaan,50.63104,13.710852
Dresden,51.05,13.75
Drusenheim,48.764278,7.950527
Duenkirchen,51.05,2.366667
Dueshorn,52.833333,9.633333
Durlach,49,8.483333
Ebersbach_an_der_Fils,48.716667,9.533333
Eberstadt,49.478056,9.3675
Eberstadt_a,49.815278,8.6425
Ebersteinburg,48.783333,8.266667
Ebsdorf,50.733333,8.816667
Ebsdorfergrund,50.733333,8.866667
Ebstorf,53.033333,10.416667
Eckernfoerde,54.466667,9.833333
Eger_Cheb,50.1333,12.4667
Egna_Neumark,46.316667,11.266667
Ehningen,48.666667,8.933333
Eischleben,50.883333,10.983333
Eisenach,50.983333,10.316667
Eisenberg_Burg,50.283333,9.483333
Eisfeld,50.7333,10.3667
Eldena,53.233333,11.416667
Elexnitz,50.661944,14.118056
Ellingen,49.066667,10.966667
Emersleben,51.933333,11.133333
Endorf,51.716667,11.383333
Engenstein,50.5,10.85
Epernay,49.042267,3.95809
Ercolano,40.8,14.35
Erfurt,50.983333,11.033333
Erlangen,49.589722,11.003889
Ermsleben,51.733333,11.333333
Escaudoeuvres,50.192893,3.266026
Eschede,52.733333,10.25
Essel,53.483333,9.266667
Esslingen_am_Neckar,48.75,9.3
Ettal,47.566667,11.1
Ettenheim,48.25,7.816667
Ettlingen,48.95,8.4
Eutin,54.133333,10.616667
Evessen,52.183333,10.716667
Falkenwalde,53.266667,14
Fallingbostel,52.866667,9.7
Faro_Capo_Vaticano,38.616667,15.833333
Faversham,51.316667,.9
Fehrbellin,52.8,12.766667
Ferrara,44.833333,11.583333
Firenzuola,44.116667,11.383333
Fischbeck,52.133333,9.3
Fiumefreddo_Bruzio,39.233333,16.066667
Flacht,48.833333,8.916667
Flechtingen,52.333333,11.25
Flechtorf,52.35,10.7
Fleckeby,54.483333,9.7
Flensburg,54.783333,9.433333
Flieden,50.416667,9.566667
Flixecourt,50.01465,2.080949
Florenz,43.766667,11.25
Foerden,53.933333,9.783333
Fondi,41.35,13.416667
Fontainebleau,48.405367,2.700199
Fontana,44.8,11.633333
Forchheim,49.723056,11.066944
Formia,41.25,13.616667
Fornace,45.733333,12.65
Foug,48.683748,5.786908
Francolino,44.9,11.666667
Francolise,41.183333,14.05
Frankenberg_Eder,51.0667,8.8167
Frankenthal,49.537222,8.355
Frankfurt_am_Main,50.116667,8.683333
Frantiskovy_Lazne,50.1167,12.35
Franzburg,54.183333,12.883333
Frauenwald,50.583333,10.85
Freiberg,50.916667,13.366667
Friedberg,48,9.416667
