id;label;type
imhoff_sophia_henriette;imhoff_sophia_henriette;person
post_dorothea_elisabeth;post_dorothea_elisabeth;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
cramm_anon_1;cramm_anon_1;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
medici_gian_gastone;medici_gian_gastone;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
medici_gian_gastone;medici_gian_gastone;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
medici_gian_gastone;medici_gian_gastone;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
wuerttemberg-neuenstadt_karl_rudolph;wuerttemberg-neuenstadt_karl_rudolph;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
post_dorothea_elisabeth;post_dorothea_elisabeth;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
heron_charles-francois;heron_charles-francois;person
steinberg_friedrich;steinberg_friedrich;person
bennigsen_levin_adolf;bennigsen_levin_adolf;person
bennigsen_magdalena_agnes;bennigsen_magdalena_agnes;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
imhoff_rudolph_christian;imhoff_rudolph_christian;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
