source;target;manuscript
braunschweig-wolfenbuettel_august_wilhelm;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-04;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-08-04;Cod. Guelf. 211.1 Extrav.
spoercken_georg_friedrich;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1698-08-04;Cod. Guelf. 211.1 Extrav.
tann_wolf_adam;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-05;Cod. Guelf. 211.1 Extrav.
ostfriesland_friedrich_ulrich;1698-08-05;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-09;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-08-10;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-10;Cod. Guelf. 211.1 Extrav.
schwarzburg-sondershausen_auguste_dorothea;1698-08-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-11;Cod. Guelf. 211.1 Extrav.
sachsen-gotha-altenburg_friedrich_ii;1698-08-13;Cod. Guelf. 211.1 Extrav.
hessen-kassel_friedrich;1698-08-13;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-08-16;Cod. Guelf. 211.1 Extrav.
mecklenburg-schwerin_friedrich_wilhelm_i;1698-08-16;Cod. Guelf. 211.1 Extrav.
sachsen-gotha-altenburg_friedrich_ii;1698-08-21;Cod. Guelf. 211.1 Extrav.
mecklenburg-schwerin_friedrich_wilhelm_i;1698-08-21;Cod. Guelf. 211.1 Extrav.
hessen-kassel_friedrich;1698-08-21;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-21;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-08-21;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-08-21;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-08-22;Cod. Guelf. 211.1 Extrav.
lothringen_leopold_joseph;1698-08-23;Cod. Guelf. 211.1 Extrav.
lothringen_elisabeth_charlotte;1698-08-23;Cod. Guelf. 211.1 Extrav.
braunschweig_neustadttor;1698-08-24;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-24;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_rudolph_august;1698-08-24;Cod. Guelf. 211.1 Extrav.
jettebrock_christian_ludwig;1698-08-27;Cod. Guelf. 211.1 Extrav.
spoercken_georg_friedrich;1698-08-27;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-08-27;Cod. Guelf. 211.1 Extrav.
veltheim_anna_christina;1698-08-27;Cod. Guelf. 211.1 Extrav.
bennigsen_levin_adolf;1698-08-28;Cod. Guelf. 211.1 Extrav.
bennigsen_magdalena_agnes;1698-08-28;Cod. Guelf. 211.1 Extrav.
steinberg_friedrich;1698-08-28;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-30;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-08-30;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-08-30;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-08-31;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_sophie_luise;1698-08-31;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-09-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-03;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-03;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-03;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-04;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-04;Cod. Guelf. 211.1 Extrav.
castell-ruedenhausen_johann_friedrich;1698-09-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-05;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-05;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-06;Cod. Guelf. 211.1 Extrav.
