source;target
schleinitz_anon_3;1701-03-12
braunschweig-wolfenbuettel_christine_luise;1701-03-12
eltz_friederike_elisabeth;1701-03-12
steinberg_johann_adolph;1701-03-12
axel_anon_1;1701-03-12
savoyen_viktor_amadeus_ii;1701-03-12
braunschweig-wolfenbuettel_christine_luise;1701-03-16
braunschweig-wolfenbuettel_anton_ulrich;1701-03-16
sachsen-gotha-altenburg_johann_wilhelm;1701-03-18
mecklenburg-strelitz_adolph_friedrich_ii;1701-03-18
schleswig-holstein-gottorf_friedrich_iv;1701-03-18
rantzau_alexander_leopold_anton;1701-03-19
braunschweig-wolfenbuettel_elisabeth_juliane;1701-03-19
rantzau_dorothea_hedwig;1701-03-19
braunschweig-wolfenbuettel_christine_luise;1701-03-18
koehler_daniel;1701-03-18
sachsen-gotha-altenburg_johann_wilhelm;1701-03-21
braunschweig-wolfenbuettel-bevern_ernst_ferdinand;1701-03-21
braunschweig-wolfenbuettel-bevern_heinrich_ferdinand;1701-03-21
braunschweig-wolfenbuettel-bevern_christine;1701-03-21
berghorn_anon_1;1701-03-21
winter_peter;1701-03-21
bodavin_anon_1;1701-03-23
koenigsmarck_maria_aurora;1701-03-23
braunschweig-wolfenbuettel_august_wilhelm;1701-03-24
schack_christian;1701-03-24
kaiserin_elisabeth_christine;1701-03-27
braunschweig-wolfenbuettel_antoinette_amalia;1701-03-27
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-03-30
walther_friedrich_hans;1701-03-30
walther_friedrich;1701-03-30
geist_anon_1;1701-03-30
braunschweig-wolfenbuettel_anton_ulrich;1701-03-31
bodavin_anon_1;1701-03-31
hessen-kassel_karl;1701-04-01
halcke_gustav_georg;1701-04-01
zorn_wolf_christian;1701-04-01
prittwitz_johann_caspar;1701-04-01
prigge_hans_georg;1701-04-01
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-01
castell-remlingen_leopold_friedrich_ernst;1701-04-06
campen_bernhard_adolph;1701-04-06
rantzau_alexander_leopold_anton;1701-04-05
braunschweig-wolfenbuettel_christine_luise;1701-04-05
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-05
prigge_hans_georg;1701-04-07
schleinitz_anon_1;1701-04-06
halcke_gustav_georg;1701-04-06
zorn_wolf_christian;1701-04-06
kern_david_heinrich;1701-04-08
niemeier_anon_1;1701-04-08
campen_bernhard_adolph;1701-04-08
polen_august_ii;1701-04-08
campen_bernhard_adolph;1701-04-10
evers_hans_heinrich;1701-04-10
voelckening_jobst_eberhard;1701-04-13
bortfeld_caspar_heinrich;1701-04-13
voelckening_jobst_eberhard;1701-04-13
cramm_johann_ludwig;1701-04-13
streithorst_franz_christoph_ernst;1701-04-13
steineck_johann_philipp;1701-04-13
prigge_hans_georg;1701-04-13
weixel_johann_bernhard;1701-04-13
alvensleben_johann_friedrich;1701-04-13
streithorst_franz_christoph_ernst;1701-04-15
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-16
meer_frans;1701-04-16
meer_aelbert;1701-04-16
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-17
spoercken_georg_friedrich;1701-04-17
braunschweig-wolfenbuettel_christine_luise;1701-04-19
meer_aelbert;1701-04-20
braunschweig-wolfenbuettel_rudolph_august;1701-04-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-20
cramm_johann_ludwig;1701-04-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-22
kern_david_heinrich;1701-04-22
kuehlewein_johann_friedrich;1701-04-21
wildenheim_georg_heinrich;1701-04-21
harnisch_anon_1;1701-04-21
bobart_daniel_arnold;1701-04-21
harmers_hans;1701-04-22
voelckening_jobst_eberhard;1701-04-22
mencke_otto;1701-04-24
kuehlewein_johann_friedrich;1701-04-25
eberhard_anon_1;1701-04-25
roemmers_anon_1;1701-04-25
harmers_hans;1701-04-25
braunschweig-wolfenbuettel_christine_luise;1701-04-25
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-25
kuehlewein_georg_balthasar;1701-04-25
schrader_andreas;1701-04-25
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-04-27
voelckening_jobst_eberhard;1701-04-27
druchtleben_johann_gottfried;1701-04-28
prigge_hans_georg;1701-04-29
schrader_andreas;1701-04-29
bodavin_anon_1;1701-04-30
kaiser_leopold_i;1701-05-07
rappach_karl_ernst;1701-05-07
braunschweig-wolfenbuettel_rudolph_august;1701-05-07
reuschenberg_anon_1;1701-05-07
reuschenberg_anon_2;1701-05-07
reuschenberg_anon_3;1701-05-07
wrisberg_anon_1;1701-05-07
braunschweig-wolfenbuettel_anton_ulrich;1701-05-04
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-04
