source,target,edgetype
https://d-nb.info/gnd/123384656,https://d-nb.info/gnd/1012555380,Elternteil von
https://d-nb.info/gnd/123384656,https://d-nb.info/gnd/108425932,Elternteil von
https://d-nb.info/gnd/11883732X,http://d-nb.info/gnd/123384648,Elternteil von
https://d-nb.info/gnd/121402355,http://d-nb.info/gnd/123384648,Elternteil von
https://d-nb.info/gnd/11883732X,https://d-nb.info/gnd/101263503,Elternteil von
https://d-nb.info/gnd/121402355,https://d-nb.info/gnd/101263503,Elternteil von
https://d-nb.info/gnd/115466916,https://d-nb.info/gnd/1050207548,Elternteil von
https://d-nb.info/gnd/1050568915,http://d-nb.info/gnd/141564156,Elternteil von
http://d-nb.info/gnd/1050568915,https://d-nb.info/gnd/141564156,Elternteil von
https://d-nb.info/gnd/119546256,https://d-nb.info/gnd/11897436X,Elternteil von
https://d-nb.info/gnd/118693484,http://d-nb.info/gnd/12318441X,Elternteil von
http://d-nb.info/gnd/12318441X,https://d-nb.info/gnd/118649450,verheiratet mit
https://d-nb.info/gnd/119175800,http://d-nb.info/gnd/1027128939,Elternteil von
https://d-nb.info/gnd/101250797,https://d-nb.info/gnd/133022641,Elternteil von
https://d-nb.info/gnd/115588337,http://d-nb.info/gnd/119053322,Elternteil von
http://d-nb.info/gnd/137373260,https://d-nb.info/gnd/118678965,Elternteil von
https://d-nb.info/gnd/118720856,http://d-nb.info/gnd/118711539,Elternteil von
https://d-nb.info/gnd/118904043,http://d-nb.info/gnd/118711539,Elternteil von
http://d-nb.info/gnd/118711539,https://d-nb.info/gnd/118865838,Elternteil von
http://d-nb.info/gnd/118711539,https://d-nb.info/gnd/118649450,Elternteil von
https://d-nb.info/gnd/119357577,https://d-nb.info/gnd/118643355,Elternteil von
https://d-nb.info/gnd/118643355,https://d-nb.info/gnd/118865838,verheiratet mit
https://d-nb.info/gnd/121892611,http://d-nb.info/gnd/100793037,Elternteil von
https://d-nb.info/gnd/11872942X,https://d-nb.info/gnd/118816829,Elternteil von
https://d-nb.info/gnd/118649469,https://d-nb.info/gnd/118816829,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/119209853,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/1213321557,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/1014525853,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/1026748496,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/116689412,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/129541486,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/101292341X,Elternteil von
https://d-nb.info/gnd/118816829,https://d-nb.info/gnd/119465639,Elternteil von
https://d-nb.info/gnd/118711539,http://d-nb.info/gnd/118649450,Elternteil von
http://d-nb.info/gnd/118649450,https://d-nb.info/gnd/12318441X,verheiratet mit
https://d-nb.info/gnd/129764779,https://d-nb.info/gnd/131785001,Elternteil von
https://d-nb.info/gnd/129764779,https://d-nb.info/gnd/129764809,Elternteil von
http://d-nb.info/gnd/118548573,https://d-nb.info/gnd/10415926X,Elternteil von
https://d-nb.info/gnd/118883976,https://d-nb.info/gnd/130470988,Elternteil von
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/100455840,verheiratet mit
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/101052871,Elternteil von
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/1124921621,Elternteil von
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/102084275X,Elternteil von
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/1075223954,Elternteil von
https://d-nb.info/gnd/101248571,https://d-nb.info/gnd/100455840,Elternteil von
https://d-nb.info/gnd/101508298,https://d-nb.info/gnd/100455840,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/101052871,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/1124921621,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/102084275X,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/1075223954,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/1097401162,Elternteil von
https://d-nb.info/gnd/100455840,https://d-nb.info/gnd/102084275X,Elternteil von
https://d-nb.info/gnd/130470988,https://d-nb.info/gnd/102084275X,Elternteil von
https://d-nb.info/gnd/118535676,https://d-nb.info/gnd/128877111,Elternteil von
https://d-nb.info/gnd/118535676,https://d-nb.info/gnd/1052840728,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/118535803,Elternteil von
https://d-nb.info/gnd/101102917,https://d-nb.info/gnd/118535803,Elternteil von
https://d-nb.info/gnd/118535803,https://d-nb.info/gnd/102489238,Elternteil von
https://d-nb.info/gnd/118535803,https://d-nb.info/gnd/137565526,Elternteil von
https://d-nb.info/gnd/102035229,https://d-nb.info/gnd/118560050,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/101102917,verheiratet mit
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/118535803,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/1052709583,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/118632914,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/1024253732,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/137327617,Elternteil von
https://d-nb.info/gnd/118560050,https://d-nb.info/gnd/1029095175,Elternteil von
https://d-nb.info/gnd/137844743,https://d-nb.info/gnd/102614156,Elternteil von
https://d-nb.info/gnd/115865497,http://d-nb.info/gnd/122076338,Elternteil von
http://d-nb.info/gnd/122076338,https://d-nb.info/gnd/141383623,verheiratet mit
https://d-nb.info/gnd/115865497,https://d-nb.info/gnd/103125140,Elternteil von
https://d-nb.info/gnd/103125140,https://d-nb.info/gnd/101085052,Elternteil von
