id;label
https://d-nb.info/gnd/11883732X;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog, 1636-1687
https://d-nb.info/gnd/121402355;Christina, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/137259395;Eleonore Charlotte, Braunschweig-Lüneburg, Herzogin
https://d-nb.info/gnd/143935631;Christine Sophie, Brandenburg-Kulmbach, Markgräfin
https://d-nb.info/gnd/1012555380;Georg Ludwig Friedrich, Braunschweig-Lüneburg, Herzog
https://d-nb.info/gnd/108425932;August Wilhelm, Braunschweig-Lüneburg, Herzog, 1715-1781
http://d-nb.info/gnd/123384648;Braunschweig-Wolfenbüttel-Bevern, Ferdinand Christian, Herzog von
https://d-nb.info/gnd/11883732X;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog, 1636-1687
https://d-nb.info/gnd/121402355;Christina, Braunschweig-Lüneburg, Herzogin
http://d-nb.info/gnd/123384621;Braunschweig-Wolfenbüttel-Bevern, Heinrich Ferdinand, Herzog von
https://d-nb.info/gnd/101263503;Braunschweig-Wolfenbüttel-Bevern, Sophia Eleonora, Herzogin von
https://d-nb.info/gnd/11883732X;Ferdinand Albrecht, Braunschweig-Lüneburg, Herzog, 1636-1687
https://d-nb.info/gnd/121402355;Christina, Braunschweig-Lüneburg, Herzogin
http://d-nb.info/gnd/133550850;Bülow, Joachim Heinrich von
https://d-nb.info/gnd/135719143;Castell-Remlingen, Friedrich Magnus, Graf und Herr zu
https://d-nb.info/gnd/115466916;Castell-Remlingen, Wolfgang Dietrich, Graf und Herr zu
https://d-nb.info/gnd/1050207548;Sophie Theodora, Reuß-Ebersdorf, Gräfin
http://d-nb.info/gnd/118702300;Castelvetro, Lodovico
http://d-nb.info/gnd/116636564;Colbert, marquis de Torcy, Jean-Baptiste
http://d-nb.info/gnd/141564156;Cramm, August Adolph von
https://d-nb.info/gnd/1050568915;Cramm, Hans Adolph von
http://d-nb.info/gnd/1013240464;Cramm, Eleonore Elisabeth von, geb. von Cramm
http://d-nb.info/gnd/1050568915;Cramm, Hans Adolph von
https://d-nb.info/gnd/141564156;Cramm, August Adolph von
https://d-nb.info/gnd/119546256;Friedrich IV., König von Dänemark und Norwegen
https://d-nb.info/gnd/11897436X;Christian VI., Dänemark, König
http://d-nb.info/gnd/12318441X;Georg, Prinz von Dänemark und Norwegen
https://d-nb.info/gnd/118693484;Friedrich III., Dänemark, König
https://d-nb.info/gnd/118649450;Anna, Großbritannien, Königin, 1665-1714
http://d-nb.info/gnd/1027128939;Karl, Prinz von Dänemark und Norwegen
https://d-nb.info/gnd/119175800;Christian V., Dänemark, König
https://d-nb.info/gnd/133022641;Luise, Königin von Dänemark und Norwegen, geb. Herzogin von Mecklenburg-Güstrow
https://d-nb.info/gnd/101250797;Gustav Adolf, Mecklenburg-Güstrow, Herzog
http://d-nb.info/gnd/119053322;Danckelman, Eberhard Christoph Balthasar von
https://d-nb.info/gnd/115588337;Danckelman, Sylvester Jacob
http://d-nb.info/gnd/137373260;Daun, Wirich Philipp Lorenz Graf von und zu
https://d-nb.info/gnd/118678965;Daun, Leopold von
http://d-nb.info/gnd/1037507940;Desbordes, Henri
http://d-nb.info/gnd/1055661204;Dommes, Daniel
http://d-nb.info/gnd/118711539;Jakob II., König von England und Irland
https://d-nb.info/gnd/118720856;Karl I., England, König
https://d-nb.info/gnd/118904043;Henriette Maria, England, Königin
https://d-nb.info/gnd/118865838;Maria II., England, Königin
https://d-nb.info/gnd/118649450;Anna, Großbritannien, Königin, 1665-1714
https://d-nb.info/gnd/118643355;Wilhelm III., König von England, Schottland und Irland, Fürst von Oranien
https://d-nb.info/gnd/119357577;Oranje-Nassau, Willem van
https://d-nb.info/gnd/118865838;Maria II., England, Königin
http://d-nb.info/gnd/1050676246;Erhard, Sylvester
http://d-nb.info/gnd/100793037;Fabricius, Johann
https://d-nb.info/gnd/121892611;Fabricius, Johann
https://d-nb.info/gnd/1017286043;Felden, Florenz von dem
http://d-nb.info/gnd/12131412X;Finen, Eberhard
https://d-nb.info/gnd/118816829;Ludwig XIV., König von Frankreich
https://d-nb.info/gnd/11872942X;Ludwig XIII., Frankreich, König
https://d-nb.info/gnd/118649469;Anna, Frankreich, Königin, 1601-1666
https://d-nb.info/gnd/119209853;Ludwig, Frankreich, Dauphin, 1661-1711
https://d-nb.info/gnd/1213321557;Ludwig Franz, Frankreich, Prinz
https://d-nb.info/gnd/1014525853;Conti, Marie Anne de Bourbon de
https://d-nb.info/gnd/1026748496;Vermandois, Louis de Bourbon de
https://d-nb.info/gnd/116689412;Maine, Louis Auguste de Bourbon du
https://d-nb.info/gnd/129541486;Bourbon, Louise Françoise de
https://d-nb.info/gnd/101292341X;Françoise Marie, Orléans, Duchesse
https://d-nb.info/gnd/119465639;Toulouse, Louis Alexandre de Bourbon de
https://d-nb.info/gnd/104137789;Fürstenberg-Heiligenberg, Anton Egon, Fürst von
http://d-nb.info/gnd/143334115;Goes, Ernst
http://d-nb.info/gnd/118649450;Anne, Königin Großbritannien, geb. Stuart
https://d-nb.info/gnd/118711539;Jakob II., England, König
https://d-nb.info/gnd/12318441X;Georg, Dänemark, Prinz
https://d-nb.info/gnd/129764779;Hagen, Busso von
https://d-nb.info/gnd/131785001;Alvensleben, Sophie Wilhelmine von
https://d-nb.info/gnd/129764809;Hagen, Anton August von
http://d-nb.info/gnd/141677295;Halcke, Gustav Georg von
http://d-nb.info/gnd/130590851;Happe, Andreas Zacharias
http://d-nb.info/gnd/129297143;Hardenberg, Christian Ulrich von
http://d-nb.info/gnd/1038685842;Harling, Otto Georg von
http://d-nb.info/gnd/118548573;Heinsius, Daniel
https://d-nb.info/gnd/10415926X;Heinsius, Nicolaas
http://d-nb.info/gnd/104251321X;Heiring, Jakob
http://d-nb.info/gnd/1015985645;Heringen, Georg Albrecht von
http://d-nb.info/gnd/11675270X;Hertel, Lorenz
https://d-nb.info/gnd/130470988;Hessen-Darmstadt, Dorothea Charlotte, Landgräfin von, geb. Markgräfin von Brandenburg-Ansbach
https://d-nb.info/gnd/118883976;Albrecht, Brandenburg-Ansbach, Markgraf, 1620-1667
https://d-nb.info/gnd/100455840;Ernst Ludwig, Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/101052871;Ludwig VIII., Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/1124921621;Karl Wilhelm, Hessen-Darmstadt, Prinz
https://d-nb.info/gnd/102084275X;Franz Ernst, Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/1075223954;Friederike Charlotte, Hessen-Kassel, Prinzessin
https://d-nb.info/gnd/100455840;Hessen-Darmstadt, Ernst Ludwig, Landgraf von
https://d-nb.info/gnd/101248571;Ludwig VI., Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/101508298;Elisabeth Dorothea, Hessen-Darmstadt, Landgräfin
https://d-nb.info/gnd/101052871;Ludwig VIII., Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/1124921621;Karl Wilhelm, Hessen-Darmstadt, Prinz
https://d-nb.info/gnd/102084275X;Franz Ernst, Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/1075223954;Friederike Charlotte, Hessen-Kassel, Prinzessin
https://d-nb.info/gnd/1097401162;Dorothea Sophia, Hohenlohe-Neuenstein-Öhringen, Gräfin
https://d-nb.info/gnd/102084275X;Hessen-Darmstadt, Franz Ernst, Landgraf von
